Ticket #,Customer Complaint,Date,Date_month_year,Time,Received Via,City,State,Zip code,Status,Filing on Behalf of Someone,_template_category
13,I have been overcharged $65 for three days now and no one has fixed my billing statement. Thank you for looking into this.,2025-09-27,Sep-25,16:48,Internet,Springfield,IL,62701,Open,No,Billing
14,"I have a general question about upgrading my current plan. This is not urgent, just wanted to flag it.",2026-01-18,Jan-26,05:34,Internet,Denver,CO,80014,Closed,No,Others
15,"I have a question about a charge of $40 on my latest bill, could someone clarify it? No rush on this, whenever you get a chance is fine.",2025-09-03,Sep-25,01:15,Internet,Seattle,WA,98101,Open,No,Billing
16,"Nobody has followed up with me after promising a callback three weeks ago, this is unacceptable. No rush on this, whenever you get a chance is fine.",2025-05-12,May-25,21:30,Internet,Denver,CO,80014,Closed,No,Service
17,"Nobody can tell me why my account was suspended without any notice several months ago. I need this resolved immediately, I cannot wait any longer!",2025-07-25,Jul-25,22:19,Customer Care Call,Dallas,TX,75201,Closed,No,Others
18,"I moved recently and need to update my service address, but the website won't let me. This is not urgent, just wanted to flag it.",2025-03-07,Mar-25,10:01,Internet,Miami,FL,33101,Pending,Yes,Others
19,"I was charged $120 twice on my bill this month and would like it corrected. This is not urgent, just wanted to flag it.",2025-02-02,Feb-25,10:04,Internet,Austin,TX,73301,Closed,No,Billing
20,I was billed for a package I never signed up for and it has taken a month to even get a reply. Please escalate this to a supervisor if needed.,2026-04-30,Apr-26,07:50,Customer Care Call,Portland,OR,97201,Solved,No,Billing
21,"My bill shows a late fee even though I paid on time, please review my account. I am extremely frustrated at this point.",2026-02-25,Feb-26,14:55,Internet,Chicago,IL,60601,Open,Yes,Billing
22,"My internet speed seems a little slower than what I'm paying for, could you check the line? I've already called twice about this exact issue.",2025-09-12,Sep-25,06:12,Customer Care Call,Austin,TX,73301,Pending,No,Technical
23,I was billed for a package I never signed up for and it has taken three days to even get a reply. I've already called twice about this exact issue.,2025-03-19,Mar-25,14:51,Internet,Baltimore,MD,21201,Open,Yes,Billing
24,"Nobody can tell me why my account was suspended without any notice several months ago. This is not urgent, just wanted to flag it.",2026-02-21,Feb-26,15:30,Internet,Denver,CO,80014,Solved,Yes,Others
25,This is the second month in a row my bill is wrong by $15 and support keeps ignoring my emails. I would appreciate a quick response.,2026-04-11,Apr-26,09:27,Customer Care Call,Baltimore,MD,21201,Pending,No,Billing
26,"The promotional credit of $15 was never applied to my account as promised. I need this resolved immediately, I cannot wait any longer!",2025-03-04,Mar-25,23:20,Internet,Boston,MA,02101,Open,No,Financial
27,My internet has been completely down for three weeks and no technician has shown up yet. Please let me know as soon as possible.,2026-06-05,Jun-26,02:54,Internet,Springfield,IL,62701,Open,Yes,Technical
28,The representative I spoke to was short with me and didn't answer my question.,2025-09-10,Sep-25,18:38,Internet,Baltimore,MD,21201,Open,No,Service
29,The representative I spoke to was short with me and didn't answer my question. I am extremely frustrated at this point.,2025-09-25,Sep-25,06:42,Customer Care Call,Baltimore,MD,21201,Pending,No,Service
30,"My internet speed seems a little slower than what I'm paying for, could you check the line? I would appreciate a quick response.",2025-11-20,Nov-25,02:00,Customer Care Call,Phoenix,AZ,85001,Open,Yes,Technical
31,This is the third technician appointment that has been missed and I still have no service. Please let me know as soon as possible.,2025-12-24,Dec-25,02:56,Internet,Baltimore,MD,21201,Closed,No,Technical
32,"This is the second month in a row my bill is wrong by $210 and support keeps ignoring my emails. I need this resolved immediately, I cannot wait any longer!",2026-06-26,Jun-26,00:42,Customer Care Call,Seattle,WA,98101,Open,No,Billing
33,I requested a refund of $15 a month ago and have not received it yet. I have been a loyal customer for years and expected better.,2025-10-06,Oct-25,09:38,Internet,Denver,CO,80014,Closed,No,Financial
34,I have been on hold for over an hour trying to reach customer support. I have been a loyal customer for years and expected better.,2025-09-15,Sep-25,01:05,Customer Care Call,Phoenix,AZ,85001,Closed,Yes,Service
35,"I have a question about a charge of $210 on my latest bill, could someone clarify it? This has happened before and I don't want it to happen again.",2025-06-15,Jun-25,23:28,Customer Care Call,Seattle,WA,98101,Open,Yes,Billing
36,"My bill shows a late fee even though I paid on time, please review my account. I have been a loyal customer for years and expected better.",2026-01-14,Jan-26,18:35,Internet,Springfield,IL,62701,Solved,No,Billing
37,"My monthly bill seems higher than usual this cycle, can you check the breakdown? I've already called twice about this exact issue.",2026-01-02,Jan-26,06:43,Internet,Springfield,IL,62701,Open,No,Billing
38,I have called two weeks in a row and every representative gives me a different answer with no resolution. Please escalate this to a supervisor if needed.,2025-06-08,Jun-25,07:55,Internet,Dallas,TX,75201,Pending,No,Service
39,"My monthly bill seems higher than usual this cycle, can you check the breakdown? No rush on this, whenever you get a chance is fine.",2026-02-26,Feb-26,21:55,Internet,Baltimore,MD,21201,Closed,No,Billing
40,"Nobody has followed up with me after promising a callback two weeks ago, this is unacceptable. I've already called twice about this exact issue.",2026-04-27,Apr-26,07:12,Customer Care Call,Springfield,IL,62701,Closed,No,Service
41,"Nobody has followed up with me after promising a callback three days ago, this is unacceptable. This is not urgent, just wanted to flag it.",2025-07-17,Jul-25,12:21,Customer Care Call,Springfield,IL,62701,Open,No,Service
42,I cancelled my service two weeks ago and my $89.99 deposit still has not been refunded. This has happened before and I don't want it to happen again.,2025-12-06,Dec-25,00:07,Customer Care Call,Columbus,OH,43085,Pending,No,Financial
43,"My monthly bill seems higher than usual this cycle, can you check the breakdown? I am extremely frustrated at this point.",2025-11-18,Nov-25,13:38,Internet,Dallas,TX,75201,Solved,No,Billing
44,Can someone confirm when my deposit will be returned after I closed my account?,2025-07-21,Jul-25,11:27,Internet,Boston,MA,02101,Closed,No,Financial
45,The representative I spoke to was short with me and didn't answer my question. I would appreciate a quick response.,2025-11-13,Nov-25,21:26,Customer Care Call,Boston,MA,02101,Solved,No,Service
46,This is the third technician appointment that has been missed and I still have no service. This has happened before and I don't want it to happen again.,2025-06-28,Jun-25,19:36,Customer Care Call,Chicago,IL,60601,Solved,Yes,Technical
47,"The promotional credit of $22.50 was never applied to my account as promised. No rush on this, whenever you get a chance is fine.",2025-11-26,Nov-25,14:28,Customer Care Call,Portland,OR,97201,Pending,No,Financial
48,"Nobody has followed up with me after promising a callback a month ago, this is unacceptable. Please let me know as soon as possible.",2025-03-28,Mar-25,09:32,Customer Care Call,Nashville,TN,37201,Open,No,Service
49,"The representative I spoke to was short with me and didn't answer my question. This is not urgent, just wanted to flag it.",2025-01-26,Jan-25,01:15,Customer Care Call,Denver,CO,80014,Open,No,Service
50,"I'd like a technician to take a look at my router configuration when convenient. This is not urgent, just wanted to flag it.",2026-01-29,Jan-26,15:25,Internet,Dallas,TX,75201,Pending,Yes,Technical
51,I want to cancel my subscription but keep getting transferred between departments.,2026-03-12,Mar-26,07:11,Customer Care Call,San Diego,CA,92101,Open,No,Others
52,"I moved recently and need to update my service address, but the website won't let me. Please let me know as soon as possible.",2026-04-21,Apr-26,21:33,Customer Care Call,San Diego,CA,92101,Solved,No,Others
53,I have a general question about upgrading my current plan. Please let me know as soon as possible.,2026-05-02,May-26,14:16,Internet,Dallas,TX,75201,Closed,No,Others
54,I had a fine experience overall but wanted to mention the hold time was a bit long.,2025-10-20,Oct-25,07:17,Customer Care Call,Dallas,TX,75201,Closed,Yes,Service
55,"I have been overcharged $22.50 for two weeks now and no one has fixed my billing statement. I need this resolved immediately, I cannot wait any longer!",2025-08-08,Aug-25,02:26,Customer Care Call,Denver,CO,80014,Closed,No,Billing
56,I'd like a technician to take a look at my router configuration when convenient. I am considering switching providers over this.,2025-01-21,Jan-25,18:24,Customer Care Call,Chicago,IL,60601,Open,No,Technical
57,The promotional credit of $65 was never applied to my account as promised. I've already called twice about this exact issue.,2025-08-14,Aug-25,15:14,Customer Care Call,Chicago,IL,60601,Solved,No,Financial
58,"My monthly bill seems higher than usual this cycle, can you check the breakdown? This has happened before and I don't want it to happen again.",2026-02-19,Feb-26,23:10,Customer Care Call,San Diego,CA,92101,Pending,Yes,Billing
59,"I moved recently and need to update my service address, but the website won't let me. This has happened before and I don't want it to happen again.",2025-03-27,Mar-25,20:27,Internet,Springfield,IL,62701,Solved,No,Others
60,"I was charged $65 twice on my bill this month and would like it corrected. This is not urgent, just wanted to flag it.",2025-12-01,Dec-25,10:48,Customer Care Call,Phoenix,AZ,85001,Closed,No,Billing
61,Can someone confirm when my deposit will be returned after I closed my account?,2025-02-23,Feb-25,11:14,Internet,Dallas,TX,75201,Open,Yes,Financial
62,I have tried to cancel my account for several months and keep getting transferred with no resolution.,2025-06-06,Jun-25,07:08,Customer Care Call,Portland,OR,97201,Open,No,Others
63,My modem stopped working and I still don't have a working connection. I am extremely frustrated at this point.,2025-04-28,Apr-25,05:19,Internet,Denver,CO,80014,Open,No,Technical
64,"My connection drops every hour and I work from home, I cannot keep losing income like this. I need this resolved immediately, I cannot wait any longer!",2025-03-19,Mar-25,18:44,Internet,Miami,FL,33101,Open,No,Technical
65,Could you send me information about available add-on packages?,2025-02-12,Feb-25,11:34,Customer Care Call,San Diego,CA,92101,Closed,Yes,Others
66,My internet has been completely down for two days and no technician has shown up yet. I've already called twice about this exact issue.,2026-05-17,May-26,03:27,Customer Care Call,Chicago,IL,60601,Solved,No,Technical
67,My internet connection keeps disconnecting every few minutes since yesterday. This has happened before and I don't want it to happen again.,2026-05-11,May-26,14:27,Customer Care Call,Seattle,WA,98101,Closed,No,Technical
68,I have a general question about upgrading my current plan. Thank you for looking into this.,2026-04-21,Apr-26,18:39,Customer Care Call,Miami,FL,33101,Closed,Yes,Others
69,My internet has been completely down for three days and no technician has shown up yet. Thank you for looking into this.,2025-12-30,Dec-25,08:21,Customer Care Call,Miami,FL,33101,Closed,Yes,Technical
70,"My internet has been completely down for two days and no technician has shown up yet. This is not urgent, just wanted to flag it.",2026-02-21,Feb-26,15:35,Internet,Dallas,TX,75201,Solved,No,Technical
71,My internet connection keeps disconnecting every few minutes since yesterday. I would appreciate a quick response.,2026-02-19,Feb-26,22:15,Customer Care Call,Miami,FL,33101,Closed,No,Technical
72,"This is the third technician appointment that has been missed and I still have no service. I need this resolved immediately, I cannot wait any longer!",2025-12-05,Dec-25,11:44,Customer Care Call,Boston,MA,02101,Closed,No,Technical
73,"Can someone confirm when my deposit will be returned after I closed my account? This is not urgent, just wanted to flag it.",2025-05-03,May-25,23:34,Internet,Atlanta,GA,30301,Pending,No,Financial
74,The agent was extremely rude to me on the phone and hung up before resolving my issue. Please escalate this to a supervisor if needed.,2026-06-22,Jun-26,19:18,Internet,San Diego,CA,92101,Pending,No,Service
75,I would like to ask about the refund process for a canceled service.,2025-05-10,May-25,08:02,Internet,Dallas,TX,75201,Closed,No,Financial
76,Just leaving feedback that the chat support could be a little faster to respond.,2025-01-13,Jan-25,18:18,Customer Care Call,Columbus,OH,43085,Solved,No,Service
77,I cancelled my service a week ago and my $15 deposit still has not been refunded. I've already called twice about this exact issue.,2025-04-27,Apr-25,02:25,Customer Care Call,Phoenix,AZ,85001,Open,Yes,Financial
78,This is the second month in a row my bill is wrong by $210 and support keeps ignoring my emails. I would appreciate a quick response.,2025-09-12,Sep-25,03:35,Customer Care Call,Austin,TX,73301,Pending,No,Billing
79,My internet connection keeps disconnecting every few minutes since yesterday. I've already called twice about this exact issue.,2026-03-16,Mar-26,09:36,Internet,Portland,OR,97201,Open,No,Technical
80,I had a fine experience overall but wanted to mention the hold time was a bit long.,2025-09-03,Sep-25,05:35,Internet,Denver,CO,80014,Pending,Yes,Service
81,"My internet speed seems a little slower than what I'm paying for, could you check the line? Thank you for looking into this.",2025-02-03,Feb-25,07:18,Customer Care Call,Seattle,WA,98101,Solved,Yes,Technical
82,"I have been on hold for over an hour trying to reach customer support. No rush on this, whenever you get a chance is fine.",2025-07-22,Jul-25,13:07,Internet,Nashville,TN,37201,Pending,No,Service
83,I have a general question about upgrading my current plan. Please let me know as soon as possible.,2025-11-11,Nov-25,19:47,Customer Care Call,San Diego,CA,92101,Solved,Yes,Others
84,My modem stopped working and I still don't have a working connection. I am considering switching providers over this.,2026-05-28,May-26,17:31,Customer Care Call,Seattle,WA,98101,Open,Yes,Technical
85,I want to cancel my subscription but keep getting transferred between departments. Please escalate this to a supervisor if needed.,2025-01-27,Jan-25,02:14,Internet,Seattle,WA,98101,Closed,Yes,Others
86,I have called two weeks in a row and every representative gives me a different answer with no resolution. I have been a loyal customer for years and expected better.,2026-03-29,Mar-26,08:11,Customer Care Call,Nashville,TN,37201,Solved,Yes,Service
87,My modem stopped working and I still don't have a working connection. I am extremely frustrated at this point.,2025-04-18,Apr-25,05:21,Customer Care Call,Nashville,TN,37201,Solved,No,Technical
88,"The representative I spoke to was short with me and didn't answer my question. No rush on this, whenever you get a chance is fine.",2025-02-07,Feb-25,14:05,Customer Care Call,Boston,MA,02101,Closed,No,Service
89,I have been overcharged $210 for two weeks now and no one has fixed my billing statement. I've already called twice about this exact issue.,2025-01-02,Jan-25,21:55,Customer Care Call,Boston,MA,02101,Solved,Yes,Billing
90,"I was billed for a package I never signed up for and it has taken three weeks to even get a reply. No rush on this, whenever you get a chance is fine.",2026-03-29,Mar-26,01:13,Customer Care Call,Phoenix,AZ,85001,Pending,No,Billing
91,My internet connection keeps disconnecting every few minutes since yesterday.,2025-09-03,Sep-25,22:10,Customer Care Call,Springfield,IL,62701,Open,No,Technical
92,"My bill shows a late fee even though I paid on time, please review my account. Thank you for looking into this.",2025-06-07,Jun-25,15:59,Customer Care Call,Austin,TX,73301,Closed,No,Billing
93,I have a general question about upgrading my current plan. Thank you for looking into this.,2025-05-29,May-25,12:12,Internet,Boston,MA,02101,Open,No,Others
94,I have called two weeks in a row and every representative gives me a different answer with no resolution. I am extremely frustrated at this point.,2026-06-04,Jun-26,08:52,Internet,Baltimore,MD,21201,Closed,No,Service
95,I have a general question about upgrading my current plan. Thank you for looking into this.,2025-06-02,Jun-25,14:34,Customer Care Call,Columbus,OH,43085,Closed,No,Others
96,This is the third technician appointment that has been missed and I still have no service. Thank you for looking into this.,2025-11-26,Nov-25,06:44,Internet,Baltimore,MD,21201,Solved,No,Technical
97,Could you send me information about available add-on packages? I am extremely frustrated at this point.,2026-04-30,Apr-26,22:58,Customer Care Call,Dallas,TX,75201,Solved,No,Others
98,My internet has been completely down for three days and no technician has shown up yet. I have been a loyal customer for years and expected better.,2025-12-06,Dec-25,03:55,Customer Care Call,Portland,OR,97201,Open,No,Technical
99,"I have a question about a charge of $22.50 on my latest bill, could someone clarify it? I've already called twice about this exact issue.",2025-06-08,Jun-25,02:30,Customer Care Call,Nashville,TN,37201,Closed,No,Billing
100,The representative I spoke to was short with me and didn't answer my question. I've already called twice about this exact issue.,2026-01-25,Jan-26,10:40,Customer Care Call,Nashville,TN,37201,Open,Yes,Service
101,"I would like to ask about the refund process for a canceled service. This is not urgent, just wanted to flag it.",2025-04-03,Apr-25,13:06,Internet,Dallas,TX,75201,Solved,No,Financial
102,I have been on hold for over an hour trying to reach customer support. I am extremely frustrated at this point.,2025-02-27,Feb-25,09:22,Customer Care Call,San Diego,CA,92101,Solved,No,Service
103,Can someone confirm when my deposit will be returned after I closed my account? This has happened before and I don't want it to happen again.,2025-07-04,Jul-25,05:11,Internet,San Diego,CA,92101,Solved,No,Financial
104,"My internet has been completely down for three days and no technician has shown up yet. This is not urgent, just wanted to flag it.",2025-09-18,Sep-25,14:16,Internet,Phoenix,AZ,85001,Solved,No,Technical
105,The representative I spoke to was short with me and didn't answer my question. Thank you for looking into this.,2025-11-03,Nov-25,20:27,Customer Care Call,Atlanta,GA,30301,Solved,No,Service
106,I was billed for a package I never signed up for and it has taken several months to even get a reply. Thank you for looking into this.,2025-08-31,Aug-25,12:36,Customer Care Call,Austin,TX,73301,Closed,No,Billing
107,"My monthly bill seems higher than usual this cycle, can you check the breakdown? I am considering switching providers over this.",2025-01-09,Jan-25,18:55,Internet,Seattle,WA,98101,Solved,No,Billing
108,"I have called three weeks in a row and every representative gives me a different answer with no resolution. No rush on this, whenever you get a chance is fine.",2025-08-13,Aug-25,20:12,Customer Care Call,Atlanta,GA,30301,Pending,Yes,Service
109,"I moved recently and need to update my service address, but the website won't let me. I would appreciate a quick response.",2026-03-28,Mar-26,01:37,Customer Care Call,San Diego,CA,92101,Pending,Yes,Others
110,"I moved recently and need to update my service address, but the website won't let me. I am considering switching providers over this.",2025-07-25,Jul-25,04:50,Customer Care Call,Denver,CO,80014,Closed,No,Others
111,"Can someone confirm when my deposit will be returned after I closed my account? No rush on this, whenever you get a chance is fine.",2025-12-13,Dec-25,03:29,Internet,Seattle,WA,98101,Pending,No,Financial
112,Could you send me information about available add-on packages? I am considering switching providers over this.,2026-01-10,Jan-26,02:50,Customer Care Call,Columbus,OH,43085,Open,No,Others
113,This is the third technician appointment that has been missed and I still have no service. This has happened before and I don't want it to happen again.,2025-09-26,Sep-25,18:24,Customer Care Call,Dallas,TX,75201,Open,No,Technical
114,My modem stopped working and I still don't have a working connection. I am extremely frustrated at this point.,2025-08-15,Aug-25,20:04,Customer Care Call,Baltimore,MD,21201,Closed,No,Technical
115,I have been overcharged $15 for two days now and no one has fixed my billing statement. I would appreciate a quick response.,2025-04-29,Apr-25,03:15,Internet,Phoenix,AZ,85001,Solved,No,Billing
116,Nobody will process my $120 refund even though I have called a month in a row about it. I have been a loyal customer for years and expected better.,2025-06-08,Jun-25,13:41,Internet,Chicago,IL,60601,Solved,No,Financial
117,"I have tried to cancel my account for two days and keep getting transferred with no resolution. I need this resolved immediately, I cannot wait any longer!",2025-08-11,Aug-25,14:28,Internet,Atlanta,GA,30301,Closed,Yes,Others
118,Nobody can tell me why my account was suspended without any notice three weeks ago. This has happened before and I don't want it to happen again.,2025-03-04,Mar-25,12:17,Internet,Atlanta,GA,30301,Open,No,Others
119,"My bill shows a late fee even though I paid on time, please review my account. This has happened before and I don't want it to happen again.",2025-01-22,Jan-25,01:50,Customer Care Call,Portland,OR,97201,Pending,No,Billing
120,"Nobody has followed up with me after promising a callback two days ago, this is unacceptable. I've already called twice about this exact issue.",2025-08-01,Aug-25,18:13,Internet,San Diego,CA,92101,Closed,No,Service
121,"Nobody has followed up with me after promising a callback two days ago, this is unacceptable. I would appreciate a quick response.",2025-05-29,May-25,04:34,Customer Care Call,Columbus,OH,43085,Pending,Yes,Service
122,The representative I spoke to was short with me and didn't answer my question.,2025-09-01,Sep-25,18:20,Internet,Atlanta,GA,30301,Pending,No,Service
123,I was charged $120 twice on my bill this month and would like it corrected. I have been a loyal customer for years and expected better.,2025-03-07,Mar-25,15:28,Customer Care Call,Austin,TX,73301,Open,No,Billing
124,"My internet has been completely down for two days and no technician has shown up yet. I need this resolved immediately, I cannot wait any longer!",2026-06-18,Jun-26,09:29,Internet,San Diego,CA,92101,Open,No,Technical
125,Could you send me information about available add-on packages?,2026-03-31,Mar-26,02:57,Internet,Phoenix,AZ,85001,Closed,No,Others
126,I was charged $40 twice on my bill this month and would like it corrected. This has happened before and I don't want it to happen again.,2025-11-29,Nov-25,12:38,Customer Care Call,Portland,OR,97201,Solved,No,Billing
127,"My bill shows a late fee even though I paid on time, please review my account. I've already called twice about this exact issue.",2025-08-09,Aug-25,13:28,Internet,Nashville,TN,37201,Solved,No,Billing
128,"I have a general question about upgrading my current plan. I need this resolved immediately, I cannot wait any longer!",2025-11-17,Nov-25,13:20,Customer Care Call,Austin,TX,73301,Closed,No,Others
129,I have been on hold for over an hour trying to reach customer support.,2025-03-29,Mar-25,02:27,Internet,Columbus,OH,43085,Closed,No,Service
130,This is the third technician appointment that has been missed and I still have no service. I have been a loyal customer for years and expected better.,2025-05-06,May-25,13:22,Customer Care Call,Atlanta,GA,30301,Open,No,Technical
131,"My connection drops every hour and I work from home, I cannot keep losing income like this. Please escalate this to a supervisor if needed.",2025-08-06,Aug-25,04:42,Customer Care Call,Boston,MA,02101,Pending,Yes,Technical
132,I cancelled my service a week ago and my $89.99 deposit still has not been refunded.,2025-10-13,Oct-25,18:14,Customer Care Call,San Diego,CA,92101,Open,No,Financial
133,"My monthly bill seems higher than usual this cycle, can you check the breakdown? No rush on this, whenever you get a chance is fine.",2025-12-14,Dec-25,11:00,Internet,Seattle,WA,98101,Pending,No,Billing
134,I was charged $120 twice on my bill this month and would like it corrected.,2026-06-28,Jun-26,06:24,Customer Care Call,Austin,TX,73301,Solved,No,Billing
135,This is the second month in a row my bill is wrong by $40 and support keeps ignoring my emails. I am extremely frustrated at this point.,2025-03-28,Mar-25,01:09,Internet,San Diego,CA,92101,Open,Yes,Billing
136,I requested a refund of $120 two weeks ago and have not received it yet. Thank you for looking into this.,2026-03-29,Mar-26,13:17,Internet,Portland,OR,97201,Open,No,Financial
137,I'd like a technician to take a look at my router configuration when convenient. This has happened before and I don't want it to happen again.,2026-05-14,May-26,16:42,Customer Care Call,Portland,OR,97201,Open,No,Technical
138,"My internet speed seems a little slower than what I'm paying for, could you check the line?",2025-11-05,Nov-25,06:49,Internet,Miami,FL,33101,Closed,No,Technical
139,"I cancelled my service two weeks ago and my $15 deposit still has not been refunded. I need this resolved immediately, I cannot wait any longer!",2025-06-29,Jun-25,04:24,Internet,Chicago,IL,60601,Closed,Yes,Financial
140,"My internet speed seems a little slower than what I'm paying for, could you check the line? I am considering switching providers over this.",2026-04-16,Apr-26,02:55,Customer Care Call,Springfield,IL,62701,Solved,No,Technical
141,The agent was extremely rude to me on the phone and hung up before resolving my issue.,2025-01-22,Jan-25,10:10,Customer Care Call,Chicago,IL,60601,Closed,Yes,Service
142,My internet connection keeps disconnecting every few minutes since yesterday. I am considering switching providers over this.,2026-02-15,Feb-26,16:05,Customer Care Call,Portland,OR,97201,Closed,No,Technical
143,I would like to ask about the refund process for a canceled service.,2025-04-27,Apr-25,16:32,Internet,Boston,MA,02101,Closed,No,Financial
144,The agent was extremely rude to me on the phone and hung up before resolving my issue. I've already called twice about this exact issue.,2025-08-30,Aug-25,03:09,Customer Care Call,Denver,CO,80014,Pending,No,Service
145,"My connection drops every hour and I work from home, I cannot keep losing income like this. This has happened before and I don't want it to happen again.",2025-07-01,Jul-25,20:31,Customer Care Call,Austin,TX,73301,Solved,No,Technical
146,Could you send me information about available add-on packages? Please let me know as soon as possible.,2025-03-11,Mar-25,15:28,Customer Care Call,Phoenix,AZ,85001,Closed,Yes,Others
147,I cancelled my service a week ago and my $15 deposit still has not been refunded. Thank you for looking into this.,2025-02-08,Feb-25,01:23,Customer Care Call,Phoenix,AZ,85001,Open,Yes,Financial
148,I had a fine experience overall but wanted to mention the hold time was a bit long. Thank you for looking into this.,2025-02-12,Feb-25,14:58,Internet,Portland,OR,97201,Closed,No,Service
149,My internet has been completely down for two weeks and no technician has shown up yet.,2025-12-18,Dec-25,22:05,Internet,San Diego,CA,92101,Open,No,Technical
150,I have been on hold for over an hour trying to reach customer support. I have been a loyal customer for years and expected better.,2025-06-12,Jun-25,11:23,Customer Care Call,Portland,OR,97201,Solved,No,Service
151,I have called three weeks in a row and every representative gives me a different answer with no resolution.,2025-12-09,Dec-25,02:21,Internet,San Diego,CA,92101,Solved,No,Service
152,Can someone confirm when my deposit will be returned after I closed my account? Please escalate this to a supervisor if needed.,2025-06-03,Jun-25,10:05,Internet,Columbus,OH,43085,Closed,No,Financial
153,Nobody can tell me why my account was suspended without any notice a month ago. I am considering switching providers over this.,2025-03-28,Mar-25,09:35,Customer Care Call,Denver,CO,80014,Closed,No,Others
154,The representative I spoke to was short with me and didn't answer my question. This has happened before and I don't want it to happen again.,2026-06-24,Jun-26,02:41,Customer Care Call,Baltimore,MD,21201,Closed,Yes,Service
155,Nobody will process my $22.50 refund even though I have called three days in a row about it. I am extremely frustrated at this point.,2026-05-13,May-26,06:14,Internet,San Diego,CA,92101,Pending,Yes,Financial
156,The promotional credit of $210 was never applied to my account as promised. I have been a loyal customer for years and expected better.,2026-06-24,Jun-26,01:42,Customer Care Call,San Diego,CA,92101,Pending,No,Financial
157,"This is the second month in a row my bill is wrong by $22.50 and support keeps ignoring my emails. I need this resolved immediately, I cannot wait any longer!",2025-06-19,Jun-25,23:28,Internet,San Diego,CA,92101,Solved,No,Billing
158,The representative I spoke to was short with me and didn't answer my question. Please escalate this to a supervisor if needed.,2026-04-05,Apr-26,07:34,Internet,Seattle,WA,98101,Closed,No,Service
159,"I moved recently and need to update my service address, but the website won't let me. This has happened before and I don't want it to happen again.",2026-03-28,Mar-26,14:49,Customer Care Call,Portland,OR,97201,Solved,No,Others
160,"Nobody can tell me why my account was suspended without any notice three days ago. No rush on this, whenever you get a chance is fine.",2025-05-22,May-25,08:03,Customer Care Call,Portland,OR,97201,Closed,Yes,Others
161,The agent was extremely rude to me on the phone and hung up before resolving my issue.,2025-03-27,Mar-25,05:17,Customer Care Call,Seattle,WA,98101,Pending,No,Service
162,"My bill shows a late fee even though I paid on time, please review my account. Thank you for looking into this.",2025-12-24,Dec-25,00:26,Internet,Baltimore,MD,21201,Solved,No,Billing
163,"I would like to ask about the refund process for a canceled service. This is not urgent, just wanted to flag it.",2025-11-23,Nov-25,03:53,Customer Care Call,Springfield,IL,62701,Pending,No,Financial
164,"My monthly bill seems higher than usual this cycle, can you check the breakdown? I need this resolved immediately, I cannot wait any longer!",2025-05-23,May-25,22:30,Customer Care Call,Columbus,OH,43085,Open,Yes,Billing
165,"I have a question about a charge of $22.50 on my latest bill, could someone clarify it? Please let me know as soon as possible.",2026-06-25,Jun-26,13:07,Customer Care Call,Boston,MA,02101,Pending,No,Billing
166,I have been overcharged $22.50 for two weeks now and no one has fixed my billing statement. This has happened before and I don't want it to happen again.,2026-04-14,Apr-26,02:07,Customer Care Call,San Diego,CA,92101,Open,No,Billing
